attribute,category,bundles,bundle_specific_attribute,normalized_freq,importance_rating,columnwise_similarity
is narrow,clothing,"1, 6",False,0.031680,2.250000,0.415584
is narrow,kitchen utensils,"1, 6",False,0.031680,,0.415584
is narrow,musical instruments,"1, 6",False,0.031680,,0.415584
is narrow,tools,"1, 6",False,0.031680,2.916667,0.415584
is narrow,vehicles,"1, 6",False,0.031680,,0.415584
is narrow,weapons,"1, 6",False,0.031680,2.083333,0.415584
shines,clothing,"3, 5, 6",False,0.035813,,0.609524
shines,kitchen utensils,"3, 5, 6",False,0.035813,3.583333,0.609524
shines,musical instruments,"3, 5, 6",False,0.035813,3.166667,0.609524
shines,tools,"3, 5, 6",False,0.035813,2.750000,0.609524
shines,vehicles,"3, 5, 6",False,0.035813,,0.609524
shines,weapons,"3, 5, 6",False,0.035813,,0.609524
has to do with nails,tools,,False,0.001377,4.416667,0.000000
used at farms,clothing,,False,0.005510,,0.000000
used at farms,kitchen utensils,,False,0.005510,,0.000000
used at farms,tools,,False,0.005510,,0.000000
used at farms,vehicles,,False,0.005510,3.916667,0.000000
works with a shove system,musical instruments,,False,0.002755,3.250000,0.000000
needs to be cleaned after use,clothing,"1, 2",False,0.011019,,0.360000
needs to be cleaned after use,kitchen utensils,"1, 2",False,0.011019,,0.360000
needs to be cleaned after use,musical instruments,"1, 2",False,0.011019,,0.360000
needs to be cleaned after use,tools,"1, 2",False,0.011019,3.916667,0.360000
needs to be cleaned after use,weapons,"1, 2",False,0.011019,,0.360000
has a sail,vehicles,,False,0.006887,3.416667,0.000000
has to be sharpened sometimes,kitchen utensils,,False,0.011019,2.666667,0.000000
has to be sharpened sometimes,tools,,False,0.011019,4.333333,0.000000
has to be sharpened sometimes,weapons,,False,0.011019,,0.000000
has a skin,musical instruments,,False,0.033058,3.500000,0.000000
is a television programme,,,False,0.002755,,0.000000
used by Robin Hood,weapons,,False,0.004132,3.750000,0.000000
classical music,musical instruments,5,True,0.008264,5.666667,0.703704
can be held,clothing,"1, 2, 4, 5, 6",False,0.001377,,0.907143
can be held,kitchen utensils,"1, 2, 4, 5, 6",False,0.001377,3.666667,0.907143
can be held,musical instruments,"1, 2, 4, 5, 6",False,0.001377,,0.907143
can be held,tools,"1, 2, 4, 5, 6",False,0.001377,,0.907143
can be held,vehicles,"1, 2, 4, 5, 6",False,0.001377,,0.907143
can be held,weapons,"1, 2, 4, 5, 6",False,0.001377,,0.907143
flies,vehicles,,False,0.053719,5.000000,0.000000
exists in different measurements,clothing,"1, 2, 3, 4, 5, 6",False,0.038567,4.000000,0.981928
exists in different measurements,kitchen utensils,"1, 2, 3, 4, 5, 6",False,0.038567,,0.981928
exists in different measurements,musical instruments,"1, 2, 3, 4, 5, 6",False,0.038567,4.916667,0.981928
exists in different measurements,tools,"1, 2, 3, 4, 5, 6",False,0.038567,,0.981928
exists in different measurements,vehicles,"1, 2, 3, 4, 5, 6",False,0.038567,5.583333,0.981928
exists in different measurements,weapons,"1, 2, 3, 4, 5, 6",False,0.038567,4.083333,0.981928
is worn to swim,clothing,,False,0.024793,2.750000,0.000000
used to warm things up,kitchen utensils,,False,0.052342,3.833333,0.000000
both large and small,clothing,"1, 2, 3, 4, 5, 6",False,0.002755,,1.000000
both large and small,kitchen utensils,"1, 2, 3, 4, 5, 6",False,0.002755,,1.000000
both large and small,musical instruments,"1, 2, 3, 4, 5, 6",False,0.002755,5.083333,1.000000
both large and small,tools,"1, 2, 3, 4, 5, 6",False,0.002755,,1.000000
both large and small,vehicles,"1, 2, 3, 4, 5, 6",False,0.002755,,1.000000
both large and small,weapons,"1, 2, 3, 4, 5, 6",False,0.002755,,1.000000
is heavy,kitchen utensils,"3, 6",False,0.303030,2.250000,0.602564
is heavy,musical instruments,"3, 6",False,0.303030,3.666667,0.602564
is heavy,tools,"3, 6",False,0.303030,4.166667,0.602564
is heavy,vehicles,"3, 6",False,0.303030,4.416667,0.602564
is heavy,weapons,"3, 6",False,0.303030,2.583333,0.602564
is long,clothing,6,True,0.173554,2.000000,0.246575
is long,kitchen utensils,6,True,0.173554,2.000000,0.246575
is long,musical instruments,6,True,0.173554,3.000000,0.246575
is long,tools,6,True,0.173554,2.916667,0.246575
is long,vehicles,6,True,0.173554,3.333333,0.246575
is long,weapons,6,True,0.173554,2.333333,0.246575
can save lifes,vehicles,,False,0.000000,,0.000000
can save lifes,weapons,,False,0.000000,4.250000,0.000000
used for school,kitchen utensils,,False,0.004132,1.500000,0.000000
used for school,musical instruments,,False,0.004132,,0.000000
used for school,tools,,False,0.004132,,0.000000
used for school,vehicles,,False,0.004132,,0.000000
is relaxing,clothing,"3, 5",False,0.009642,,0.615385
is relaxing,musical instruments,"3, 5",False,0.009642,6.000000,0.615385
is relaxing,vehicles,"3, 5",False,0.009642,3.416667,0.615385
is handy to transport,clothing,"1, 2, 3, 4, 5, 6",False,0.005510,,0.861446
is handy to transport,kitchen utensils,"1, 2, 3, 4, 5, 6",False,0.005510,,0.861446
is handy to transport,musical instruments,"1, 2, 3, 4, 5, 6",False,0.005510,2.666667,0.861446
is handy to transport,tools,"1, 2, 3, 4, 5, 6",False,0.005510,,0.861446
is handy to transport,vehicles,"1, 2, 3, 4, 5, 6",False,0.005510,,0.861446
is handy to transport,weapons,"1, 2, 3, 4, 5, 6",False,0.005510,,0.861446
has no smell,clothing,"1, 2, 3, 4, 5, 6",False,0.042700,,1.000000
has no smell,kitchen utensils,"1, 2, 3, 4, 5, 6",False,0.042700,2.666667,1.000000
has no smell,musical instruments,"1, 2, 3, 4, 5, 6",False,0.042700,,1.000000
has no smell,tools,"1, 2, 3, 4, 5, 6",False,0.042700,3.666667,1.000000
has no smell,vehicles,"1, 2, 3, 4, 5, 6",False,0.042700,,1.000000
