attribute,category,bundles,bundle_specific_attribute,normalized_freq,importance_rating,columnwise_similarity
breaths under water,fish,3,True,0.022222,5.750000,0.833333
breaths under water,reptiles,3,True,0.022222,,0.833333
is terrifying,birds,5,True,0.111111,,0.250000
is terrifying,fish,5,True,0.111111,,0.250000
is terrifying,insects,5,True,0.111111,3.500000,0.250000
is terrifying,mammals,5,True,0.111111,,0.250000
is terrifying,reptiles,5,True,0.111111,4.500000,0.250000
endangered species,birds,,False,0.066667,,0.000000
endangered species,fish,,False,0.066667,4.166667,0.000000
endangered species,mammals,,False,0.066667,,0.000000
endangered species,reptiles,,False,0.066667,,0.000000
exists for ages,mammals,,False,0.000000,,0.000000
exists for ages,reptiles,,False,0.000000,,0.000000
builds nests,birds,2,True,0.355556,6.666667,0.714286
builds nests,insects,2,True,0.355556,,0.714286
builds nests,mammals,2,True,0.355556,,0.714286
builds nests,reptiles,2,True,0.355556,,0.714286
carries over diseases,mammals,,False,0.022222,,0.000000
is brown/black,mammals,,False,0.000000,,0.000000
is brown/black,reptiles,,False,0.000000,,0.000000
thick skin,fish,5,True,0.000000,,0.181818
thick skin,mammals,5,True,0.000000,,0.181818
thick skin,reptiles,5,True,0.000000,,0.181818
eats everything,mammals,,False,0.000000,,0.000000
eats berries,birds,2,True,0.000000,,0.266667
eats grain,birds,,False,0.000000,,0.000000
eats insects,birds,"2, 5",False,0.022222,,0.827586
eats insects,insects,"2, 5",False,0.022222,,0.827586
eats insects,mammals,"2, 5",False,0.022222,,0.827586
eats insects,reptiles,"2, 5",False,0.022222,5.166667,0.827586
eats small animals,birds,"2, 3, 5",False,0.022222,5.333333,0.768293
eats small animals,fish,"2, 3, 5",False,0.022222,,0.768293
eats small animals,insects,"2, 3, 5",False,0.022222,,0.768293
eats small animals,mammals,"2, 3, 5",False,0.022222,,0.768293
eats small animals,reptiles,"2, 3, 5",False,0.022222,,0.768293
eats plants,birds,"1, 2, 4, 5",False,0.000000,,0.715596
eats plants,insects,"1, 2, 4, 5",False,0.000000,,0.715596
eats plants,mammals,"1, 2, 4, 5",False,0.000000,,0.715596
eats plants,reptiles,"1, 2, 4, 5",False,0.000000,,0.715596
eats food for fish,fish,,False,0.000000,,0.000000
eats worms,birds,"2, 5",False,0.155556,5.666667,0.725490
eats worms,mammals,"2, 5",False,0.155556,,0.725490
eats worms,reptiles,"2, 5",False,0.155556,,0.725490
eats seed,birds,2,True,0.000000,,0.733333
there are many kinds of it,birds,5,True,0.311111,,0.269841
there are many kinds of it,fish,5,True,0.311111,5.583333,0.269841
there are many kinds of it,insects,5,True,0.311111,4.750000,0.269841
there are many kinds of it,mammals,5,True,0.311111,5.666667,0.269841
there are many kinds of it,reptiles,5,True,0.311111,6.000000,0.269841
flutters,birds,,False,0.022222,6.166667,0.000000
flutters,insects,,False,0.022222,,0.000000
sings (whistles),birds,2,True,0.133333,5.333333,0.266667
is athrodopal,insects,4,True,0.022222,4.166667,0.923077
is dangerous,birds,,False,0.111111,,0.000000
is dangerous,fish,,False,0.111111,,0.000000
is dangerous,insects,,False,0.111111,,0.000000
is dangerous,mammals,,False,0.111111,,0.000000
is dangerous,reptiles,,False,0.111111,5.333333,0.000000
has bones,fish,3,True,0.177778,6.250000,0.950000
has two eyes,birds,"1, 2, 3, 4, 5",False,0.000000,,1.000000
has two eyes,fish,"1, 2, 3, 4, 5",False,0.000000,,1.000000
has two eyes,insects,"1, 2, 3, 4, 5",False,0.000000,,1.000000
has two eyes,mammals,"1, 2, 3, 4, 5",False,0.000000,,1.000000
has two eyes,reptiles,"1, 2, 3, 4, 5",False,0.000000,,1.000000
has eight paws,insects,,False,0.000000,,0.000000
has a long tail,mammals,"1, 5",False,0.000000,,0.471698
has a long tail,reptiles,"1, 5",False,0.000000,,0.471698
has a long tongue,mammals,,False,0.022222,,0.000000
has a long tongue,reptiles,,False,0.022222,4.500000,0.000000
has a bill,birds,2,True,0.311111,6.750000,1.000000
