attribute,category,bundles,bundle_specific_attribute,normalized_freq,importance_rating,columnwise_similarity
exists in different brands,clothing,"1, 2, 3, 4, 5, 6",False,0.057851,5.500000,1.000000
exists in different brands,kitchen utensils,"1, 2, 3, 4, 5, 6",False,0.057851,3.000000,1.000000
exists in different brands,musical instruments,"1, 2, 3, 4, 5, 6",False,0.057851,,1.000000
exists in different brands,tools,"1, 2, 3, 4, 5, 6",False,0.057851,,1.000000
exists in different brands,vehicles,"1, 2, 3, 4, 5, 6",False,0.057851,4.416667,1.000000
exists in different brands,weapons,"1, 2, 3, 4, 5, 6",False,0.057851,,1.000000
requires much practise,clothing,"4, 5",False,0.004132,,0.807018
requires much practise,musical instruments,"4, 5",False,0.004132,6.000000,0.807018
requires much practise,vehicles,"4, 5",False,0.004132,,0.807018
is used to protect you,clothing,"2, 6",False,0.073003,6.416667,0.877551
is used to protect you,kitchen utensils,"2, 6",False,0.073003,,0.877551
is used to protect you,weapons,"2, 6",False,0.073003,4.750000,0.877551
used to cook good food in,kitchen utensils,1,True,0.002755,5.333333,0.250000
you have to sit,musical instruments,"4, 5",False,0.012397,,0.620690
you have to sit,vehicles,"4, 5",False,0.012397,5.583333,0.620690
you have to sit,weapons,"4, 5",False,0.012397,,0.620690
has a skin,musical instruments,,False,0.033058,3.500000,0.000000
to enlarge ones power,kitchen utensils,,False,0.001377,,0.000000
to enlarge ones power,tools,,False,0.001377,6.166667,0.000000
can be carried by anyone,clothing,2,True,0.019284,5.000000,0.757576
can be carried by anyone,kitchen utensils,2,True,0.019284,,0.757576
can be carried by anyone,vehicles,2,True,0.019284,,0.757576
is invented by man,clothing,"1, 2, 3, 4, 5, 6",False,0.001377,,1.000000
is invented by man,kitchen utensils,"1, 2, 3, 4, 5, 6",False,0.001377,4.416667,1.000000
is invented by man,musical instruments,"1, 2, 3, 4, 5, 6",False,0.001377,,1.000000
is invented by man,tools,"1, 2, 3, 4, 5, 6",False,0.001377,,1.000000
is invented by man,vehicles,"1, 2, 3, 4, 5, 6",False,0.001377,,1.000000
is invented by man,weapons,"1, 2, 3, 4, 5, 6",False,0.001377,,1.000000
flies,vehicles,,False,0.053719,5.000000,0.000000
exists in different measurements,clothing,"1, 2, 3, 4, 5, 6",False,0.038567,4.000000,0.981928
exists in different measurements,kitchen utensils,"1, 2, 3, 4, 5, 6",False,0.038567,,0.981928
exists in different measurements,musical instruments,"1, 2, 3, 4, 5, 6",False,0.038567,4.916667,0.981928
exists in different measurements,tools,"1, 2, 3, 4, 5, 6",False,0.038567,,0.981928
exists in different measurements,vehicles,"1, 2, 3, 4, 5, 6",False,0.038567,5.583333,0.981928
exists in different measurements,weapons,"1, 2, 3, 4, 5, 6",False,0.038567,4.083333,0.981928
used by the handyman,kitchen utensils,3,True,0.005510,,0.783784
used by the handyman,tools,3,True,0.005510,6.416667,0.783784
used by the handyman,vehicles,3,True,0.005510,,0.783784
used by the handyman,weapons,3,True,0.005510,,0.783784
used for torturing,kitchen utensils,,False,0.002755,,0.000000
used for torturing,tools,,False,0.002755,,0.000000
used for torturing,weapons,,False,0.002755,5.583333,0.000000
is efficient,clothing,"1, 3, 6",False,0.004132,,0.914634
is efficient,kitchen utensils,"1, 3, 6",False,0.004132,,0.914634
is efficient,tools,"1, 3, 6",False,0.004132,5.666667,0.914634
is efficient,weapons,"1, 3, 6",False,0.004132,,0.914634
is heavy,kitchen utensils,"1, 5, 6",False,0.303030,2.250000,0.454545
is heavy,musical instruments,"1, 5, 6",False,0.303030,3.666667,0.454545
is heavy,tools,"1, 5, 6",False,0.303030,4.166667,0.454545
